SampleID,Tube.label,station,order,order_layers,NO3,NO2,SiO4,PO4,PB_mean,PB_sd,DCM,depth,temperature,fluorescence,turbidity,latitude,longitude,salinity,oxygen,Chla,Bchla,id_sampleS,id_sample,DCM0,DCM_simple,order_byDCM,ab_aaps,ab_bact,ab_chla,FC_low_dna,FC_high_dna,FC_all_proc,FC_all,FC_.HNA,Syn,Proc,Peuk,Nanos,Bchla_quota,perc_aaps,station00,sample2,fraction,samplePS,sample,MLD,longh
02_5,PSD2-5m,2,1,1,2.3033,0.199,1.478,0.139,7.2147877,0.49083293,surf,5,15.5644,0.8855,0.1354,-46.44136,-53.31548,34.22055,5.48545,777.1,2.976,02S_5,02_5,surf,surf,1,43675.5292,2045351.3,102864.22,499813.55,409186.66,889615.4,1065444.4,45.01502,33833.16354,7285.412,5502.10747,641.857396,0.06210855,2.1353559,2,16,0.2,PS2_5_0.2,16,25,SSTC
02_12,PSD2-12m,2,2,1,3.0973,0.165,1.466,0.182,7.2314693,0.40061872,DCM,12,15.4296,1.251,0.1633,-46.44136,-53.31549,34.3524,5.5401,968.92,3.4815,02S_12,02_12,DCM,DCM,1,27446.3708,1819256.8,103818.88,625245.86,448051.14,1097613.4,1241330.4,41.74531,52006.99176,18077.88,10818.93651,820.518733,0.11562138,1.5086584,2,19,0.2,PS2_12_0.2,19,25,SSTC
02_25,PSD2-25m,2,3,1,3.9883,0.195,1.474,0.245,4.8877059,0.22948557,below_DCM,25,13.7858,1.0203,0.14165,-46.44136,-53.31548,34.26115,5.638,928.52,3.0305,02S_25,02_25,below_DCM,below_DCM,1,21479.7685,1695628.8,113126.78,595694.44,363626.64,991357.2,1114304.8,37.90458,55537.20744,23252.442,12731.27453,721.262434,0.12860012,1.266773,2,22,0.2,PS2_25_0.2,22,25,SSTC
02_55,PSD2-55m,2,4,2,11.8583,0.545,2.898,0.367,2.7858255,0.39014954,below_DCM,55,11.71945,0.5198,0.12335,-46.44136,-53.31549,34.3407,5.4557,303.36,1.104,02S_55,02_55,below_DCM,below_DCM,,10023.8919,762020.4,14558.51,443745.51,216666.17,677653.2,805703,32.80774,10587.33848,5148.093,2885.04974,195.204053,0.10038975,1.3154362,2,25,0.2,PS2_55_0.2,25,25,SSTC
02_200,PSD2-200m,2,5,3,24.8643,0.058,10.725,1.037,0.975873,0.12511193,deep,200,4.6342,0.0581,0.0805,-46.44138,-53.31552,34.1343,6.4494,22.92,0,02S_200,02_200,deep,below_DCM,,1670.6487,283359.4,11933.2,100660.71,50207.07,149464.2,179053.5,33.27885,198.5126,1035.574,244.8322,19.85126,0,0.5895865,2,28,0.2,PS2_200_0.2,28,25,SSTC
03_5,PSD3-5m,3,6,2,0.0503,0.044,1.763,0.095,4.482196,0.12938702,surf,5,20.12625,0.376,0.08655,-39.87812,-48.39622,34.9337,5.01805,229.51,0.4785,03S_5,03_5,surf,surf,2,11217.2124,854601,65632.63,178200,151095.39,345038.5,381835.5,45.88445,6769.27954,38888.618,1280.40625,195.204053,0.03888245,1.3125671,3,31,0.2,PS3_5_0.2,F1,35,SATL
03_30,PSD3-30m,3,7,1,0.0433,0.022,1.678,0.058,4.6751382,0.40257707,above_DCM,30,20.3024,0.5391,0.0907,-39.87813,-48.39619,35.1457,4.9918,346.97,0.8541176,03S_30,03_30,above_DCM,above_DCM,2,8830.5715,813162.7,82100.45,256308.32,190699.61,455277.8,517434.4,42.66135,11837.96784,51279.112,3166.27592,281.226179,0.08816284,1.0859539,3,34,0.2,PS3_30_0.2,F2,35,SATL
03_55,PSD3-55m,3,8,2,0.4273,0.175,1.419,0.063,1.3134912,0.19953683,DCM,55,19.9172,0.58625,0.09365,-39.87812,-48.39624,36.0796,4.7812,409.26,0,03S_55,03_55,DCM,DCM,2,11933.2047,802905.8,81384.46,162912.17,124104.59,283545.7,322524,43.23949,2425.16222,38802.596,2077.76518,211.74677,0,1.4862522,3,37,0.2,PS3_55_0.2,F3,35,SATL
03_90,PSD3-90m,3,9,4,2.0133,0.115,1.572,0.123,0.5639849,0.11591745,below_DCM,90,17.8838,0.2018,0.0808,-39.87812,-48.39626,35.8423,4.4488,117.42,0,03S_90,03_90,below_DCM,below_DCM,2,6443.9305,540248.7,23627.75,114260.44,79360.17,211677.7,220554.5,40.98746,770.89058,11315.218,813.90165,89.330668,0,1.1927711,3,40,0.2,PS3_90_0.2,F4,35,SATL
05_5,PSD5-5m,5,11,3,0.0493,0.035,0.975,0.018,2.2041718,0.25210712,surf,5,20.7231,0.11385,0.09085,-36.07426,-44.27269,35.2831,5.01935,127.63,0.9664286,05S_5,05_5,surf,surf,3,11455.8765,1113827,219332.3,336882.41,217690.41,478569.9,657661.4,39.25371,2944.60352,291836.677,665.0172,251.449289,0.076895,1.0285149,5,76,0.2,PS5_5_0.2,76,35,SATL
05_50,PSD5-50m,5,12,2,0.2293,0.028,1.029,0.029,4.3679742,0.35497579,above_DCM,50,17.4349,1.0691,0.1399,-36.07425,-44.27267,35.3005,5.5725,572.4,1.5792857,05S_50,05_50,above_DCM,above_DCM,3,22275.3154,1353225.4,281623.63,418196.24,302114.92,651781.4,815698.9,41.94228,20552.67083,189162.653,2107.54207,420.184996,0.06462395,1.6460905,5,79,0.2,PS5_50_0.2,79,35,SATL
05_65,PSD5-65m,5,13,3,1.6193,0.103,1.479,0.069,3.6736197,0.21769578,DCM,65,15.9496,0.8729,0.1231,-36.07426,-44.27267,35.43825,4.79195,1011.81,1.1724706,05S_65,05_65,DCM,DCM,3,28878.3554,1571494.6,284010.27,345019.48,312338.42,624031.9,727575.7,47.51421,27196.22573,127097.69,8436.78535,466.504602,0.0370072,1.8376363,5,82,0.2,PS5_65_0.2,82,35,SATL
06_5,PSD6-5m,6,14,4,0.0703,0.037,0.854,0.002,2.5025776,0.30558071,surf,5,23.74525,0.12995,0.08765,-32.35137,-41.02376,35.9348,4.72655,132.54,1.6137,06S_5,06_5,surf,surf,4,14797.1738,1045547.6,199284.52,243524.2,201435.23,358581.3,488736.5,45.27047,7450.83946,274863.85,1283.71479,69.479409,0.09940328,1.4152558,6,91,0.2,PS6_5_0.2,91,35,SATL
06_60,PSD6-60m,6,15,4,0.0693,0.045,0.881,0.017,2.204,0.252,DCM,60,18.3936,0.2792,0.0942,-32.35138,-41.02375,35.8364,5.4581,273.02,1.6137,06S_60,06_60,DCM,DCM,4,21002.4403,1140018.8,203103.14,273986.06,207315.17,439401.9,537729.7,43.07389,3073.6367,111190.214,559.14381,99.256298,0.07003413,1.8422889,6,94,0.2,PS6_60_0.2,94,35,SATL
06_105,PSD6-105m,6,16,5,1.6873,0.193,1.225,0.142,0.9928258,0.87021258,below_DCM,105,16.47525,0.4277,0.09465,-32.35138,-41.02375,35.7785,4.87795,233.05,0.6204,06S_105,06_105,below_DCM,below_DCM,4,9069.2356,663269.2,58234.04,125621.99,89507.8,222451.3,243087.9,41.60642,178.66134,27666.039,691.48554,79.405039,0.06235306,1.3673536,6,97,0.2,PS6_105_0.2,97,35,SATL
07_5,PSD7-5m,7,17,5,0.1643,0.029,0.477,0.002,2.3029551,0.32960774,surf,5,25.7999,0.0677,0.07425,-29.52063,-38.47974,35.84225,4.5575,67.87,0.5181,07S_5,07_5,surf,surf,5,4057.2896,698634.9,123389.34,194227.57,161375.8,317839,419751.6,45.38084,469.81315,205814.552,565.7609,125.724644,0.11639498,0.5807453,7,106,0.2,PS7_5_0.2,106,20,SATL
07_50,PSD7-50m,7,18,3,0.0703,0.033,0.916,0.002,3.0277086,0.92458734,above_DCM,50,19.9639,0.1655,0.0816,-29.52061,-38.47974,36.021,5.2506,132.55,0.627,07S_50,07_50,above_DCM,above_DCM,5,7159.9228,817966.9,191647.27,216988.61,178636.26,421287.9,452660.3,45.15294,2445.01348,175597.626,430.11063,125.724644,0.07982076,0.8753316,7,109,0.2,PS7_50_0.2,109,20,SATL
07_110,PSD7-110m,7,19,5,0.0783,0.049,0.922,0.012,1.1311573,0.30010049,DCM,110,18.5304,0.3783,0.0766,-29.52061,-38.47974,35.9675,5.0011,231.25,0,07S_110,07_110,DCM,DCM,5,2625.305,479497.9,34844.96,132469.27,86890.28,246179.7,263193.5,39.61089,241.52366,46772.876,1396.20526,9.92563,0,0.5475113,7,112,0.2,PS7_110_0.2,112,20,SATL
08_5,PSD8-5m,8,20,6,0.0263,0.01,0.728,0.002,2.5857073,0.02551895,surf,5,27.8632,0.0587,0.0847,-26.62727,-35.99399,36.69365,4.3768,63.04,0.8448,08S_5,08_5,surf,surf,,13842.5175,631743.9,56483.84,161205.09,202649.16,239787.6,380981.9,55.69515,1684.04853,307883.112,628.62322,16.542716,0.05562826,2.1911598,8,121,0.2,PS8_5_0.2,121,40,SATL
09_50,PSD9-50m,9,21,4,0.0603,0.012,0.94,0.002,2.4926102,0.10114839,above_DCM,50,23.9283,0.1673,0.0917,-25.24064,-34.87008,36.8011,5.0605,137.29,1.0303333,09S_50,09_50,above_DCM,above_DCM,,22911.753,904103,56802.05,314462.78,216116.11,537103.7,626497.7,40.73213,3708.87701,256541.137,578.99507,125.724644,0.04098983,2.5341973,9,151,0.2,PS9_50_0.2,151,35,SATL
10_5,PSD10-5m,10,22,7,NA,NA,NA,NA,1.3868859,0.47527309,surf,5,29.4933,0.08515,0.1019,-22.60456,-33.12022,37.0327,4.3495,89.1,0.6237,10S_5,10_5,surf,surf,6,795.547,309178.5,11933.2,273265.29,269775.27,401656.5,566313.7,49.67866,860.22125,166800.209,512.82421,95.947755,0.55958556,0.2573099,10,163,0.2,PS10_5_0.2,163,25,SATL
10_25,PSD10-25m,10,23,5,NA,NA,NA,NA,4.0825232,0.5754959,above_DCM,25,28.81445,0.27925,0.11345,-22.60456,-33.12022,36.9549,4.489,206.67,NA,10S_25,10_25,above_DCM,above_DCM,6,477.3282,403559.3,33890.3,298207.6,260500.14,401561.7,579287.5,46.62548,1078.58511,228378.817,423.49354,109.181928,0,0.1182796,10,166,0.2,PS10_25_0.2,166,25,SATL
10_40,PSD10-40m,10,24,6,NA,NA,NA,NA,3.7178959,0.19867168,above_DCM,40,26.1595,0.3288,0.111,-22.60456,-33.12022,36.7285,4.9311,160.89,1.8942,10S_40,10_40,DCM1,above_DCM,,12463.5694,939902.6,280297.72,254278.79,225068.78,329636.8,505598.6,46.95315,1224.16101,218648.391,635.24031,52.936692,0.1385288,1.326049,10,169,0.2,PS10_40_0.2,169,25,SATL
10_65,PSD10-65m,10,25,7,NA,NA,NA,NA,0.5729857,0.09723297,above_DCM,65,22.8539,0.2391,0.08695,-22.60457,-33.12022,36.68385,5.01035,183.75,NA,10S_65,10_65,between_DCM,above_DCM,,7159.9228,522913,146301.09,208453.22,150184.95,247317.7,384965.1,41.87645,1948.73199,162800.18,648.47448,52.936692,0,1.3692378,10,175,0.2,PS10_65_0.2,175,25,SATL
10_100,PSD10-100m,10,26,6,0.0093,0.025,0.858,0.002,0.8301782,0.16603563,DCM,100,21.8068,0.3658,0.0749,-22.60457,-33.12023,36.6476,4.7404,219.27,0,10S_100,10_100,DCM2,DCM,6,4534.6178,284726.3,47494.15,106749.29,75358.02,147662.3,199823,41.38111,142.26736,39279.026,674.94283,36.393976,0,1.5926236,10,181,0.2,PS10_100_0.2,181,25,SATL
11_5,PSD11-5m,11,27,8,NA,NA,NA,NA,1.8399152,0.35038457,surf,5,29.36475,0.03215,0.07485,-19.12383,-32.58316,37.6344,4.26265,45.85,0,11S_5,11_5,surf,surf,,7398.5869,674464.7,141527.81,129756.91,179034.57,232428.2,314595.6,57.97912,562.45236,148987.012,397.02519,165.427164,0,1.0969568,11,196,0.2,PS11_5_0.2,196,25,SATL
